home, away, home_score, away_score, ball_possession_home_team, home_shots_on_target, away_shots_on_target, home_shots_wide_of_target, away_shots_wide_of_target, home_corners, away_corners, home_free_kicks, away_free_kicks, home_offside, away_offside, home_fouls, away_fouls, home_yellow_card, away_yellow_cards, home_red_cards, away_red_cards, home_penalty, away_penalty, home_penalty_missed, away_penalty_missed, home_goal_denied, away_goal_denied, home_substitute, away_substitute, home_own_goal, away_own_goal, first_half_extra_time, second_half_extra_time
3, 6, 0, 1, 59, 2, 6, 5, 4, 6, 5, 14, 16, 2, 2, 14, 12, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 5, 2, 0, 0, 3, 5
2, 3, 1, 0, 56, 7, 2, 9, 4, 4, 3, 10, 11, 3, 3, 8, 7, 2, 3, 0, 1, 0, 0, 0, 0, 0, 0, 4, 3, 0, 0, 5, 5
5, 4, 1, 1, 33, 4, 7, 4, 10, 0, 8, 11, 15, 4, 4, 11, 7, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 4, 5, 0, 0, 5, 5
6, 1, 1, 0, 48, 3, 4, 2, 5, 2, 9, 19, 11, 1, 1, 11, 18, 1, 2, 0, 1, 0, 0, 0, 0, 0, 0, 3, 3, 0, 0, 2, 5
7, 10, 5, 1, 59, 8, 4, 5, 3, 4, 2, 6, 14, 2, 1, 12, 5, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 0, 1, 2, 2
12, 8, 2, 3, 58, 5, 8, 6, 1, 7, 7, 19, 9, 2, 3, 8, 16, 1, 4, 0, 1, 0, 0, 0, 0, 0, 0, 5, 5, 0, 0, 1, 5
9, 11, 2, 0, 67, 6, 5, 7, 6, 7, 3, 13, 15, 4, 5, 11, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 0, 0, 3, 3
13, 16, 0, 0, 60, 3, 3, 7, 5, 10, 6, 14, 15, 2, 2, 14, 12, 1, 4, 0, 0, 0, 1, 0, 1, 0, 0, 5, 5, 0, 0, 6, 6

14, 15, 1, 1, 49, 2, 4, 5, 8, 2, 4, 9, 11, 1, 0, 9, 10, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 0, 0, 1, 4
1, 5, 2, 3, 58, 9, 4, 4, 2, 4, 3, 23, 12, 1, 3, 10, 20, 2, 5, 0, 0, 1, 0, 0, 0, 0, 0, 4, 5, 0, 0, 4, 6
4, 2, 3, 1, 46, 8, 7, 5, 5, 4, 2, 13, 9, 1, 1, 8, 12, 1, 5, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 0, 0, 3, 5
8, 9, 2, 3, 34, 6, 7, 7, 6, 5, 4, 13, 14, 5, 0, 9, 13, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 0, 0, 4, 4
10, 12, 0, 0, 62, 6, 2, 5, 5, 6, 2, 16, 13, 1, 4, 12, 13, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 0, 0, 4, 0
11, 7, 0, 3, 34, 3, 7, 0, 6, 1, 8, 16, 16, 1, 3, 16, 13, 4, 2, 2, 0, 0, 0, 0, 0, 0, 0, 5, 4, 0, 0, 2, 6
16, 14, 3, 1, 57, 5, 3, 5, 5, 7, 4, 14, 15, 1, 2, 16, 13, 1, 3, 0, 0, 1, 2, 1, 1, 0, 0, 4, 3, 0, 0, 7, 6
15, 13, 1, 2, 41, 2, 5, 3, 4, 4, 3, 15, 13, 2, 2, 11, 12, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 0, 0, 4, 5

41, 33, 0, 0, 48, 4, 3, 6, 8, 2, 4, 9, 11, 4, 0, 7, 9, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 0, 0, 4, 4
33, 42, 0, 2, 67, 3, 4, 5, 6, 9, 1, 17, 13, 3, 3, 10, 14, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 5
33, 22, 1, 0, 53, 3, 3, 3, 11, 4, 4, 15, 10, 0, 1, 11, 14, 2, 2, 0, 0, 0, 1, 0, 1, 0, 0, 2, 3, 0, 0, 5, 5
